recipient_condensed,year,aid_amount
Eritrea,2011,57212.78
Eritrea,2013,13592627.173333332
Ethiopia,2000,520156.0
Ethiopia,2001,319758474.81333333
Ethiopia,2002,1911479.0
Ethiopia,2003,107439320.06
Ethiopia,2005,88725518.0
Ethiopia,2006,2386825082.26
Ethiopia,2007,1328222553.0
Ethiopia,2008,56773323.18666667
Ethiopia,2009,3656589394.4966664
Ethiopia,2010,528233197.0
Ethiopia,2011,23225230976.18
Ethiopia,2012,7225207831.0
Ethiopia,2013,43818840326.46667
Ethiopia,2014,540703751.4866667
Gabon,2000,6033252.0
Gabon,2002,16384109.0
Gabon,2004,3784593.52
Gabon,2005,10678551.7
Gabon,2007,89739861.21666668
Gabon,2008,545475490.2266667
Gabon,2009,32811729.313333336
Gabon,2010,140491506.85
Gabon,2011,143539299.35333332
Gabon,2013,800165328.0
Gabon,2014,5662341.4
Ghana,2001,118876138.0
Ghana,2002,157082248.0
Ghana,2003,487560353.29999995
Ghana,2004,337556790.00666666
Ghana,2005,98025068.22666667
Ghana,2006,1442899011.6266668
Ghana,2007,1745512043.9333332
Ghana,2008,210560757.17333335
Ghana,2009,367726164.66
Ghana,2010,6804772808.186667
Ghana,2011,24161087.1
Ghana,2012,529280962.0
Ghana,2013,374927247.56666666
Ghana,2014,1646877.0
Guinea,2000,20438862.893333334
Guinea,2002,4498478.893333334
Guinea,2004,11677833.68
Guinea,2005,88385723.0
Guinea,2006,52241360.58666667
Guinea,2007,169536620.5
Guinea,2008,73429233.41333334
Guinea,2009,9631237.593333332
Guinea,2010,13279988.613333333
Guinea,2011,472971733.06666666
Guinea,2012,4146084.4400000004
Guinea,2014,14584097.38
Guinea-Bissau,2000,13922889.0
Guinea-Bissau,2001,13186245.0
Guinea-Bissau,2002,3000391.1733333333
Guinea-Bissau,2003,39659288.0
Guinea-Bissau,2004,35437925.773333326
Guinea-Bissau,2005,2198904.0
Guinea-Bissau,2006,4000869.9733333336
Guinea-Bissau,2007,74866468.0
Guinea-Bissau,2008,7895783.9
Guinea-Bissau,2009,3046012.4133333336
Guinea-Bissau,2010,1300375.0
Guinea-Bissau,2011,29490774.68
Guinea-Bissau,2012,6807501.6466666665
Guinea-Bissau,2013,1626805.0
Iraq,2000,1677497.3133333332
Iraq,2007,1716764.56
Iraq,2009,2259863.02
Iraq,2010,8552347.0
Israel,2009,27430359.18
Israel,2012,22451273.153333332
Israel,2014,19541970.21333333
Jordan,2001,454698.0
Jordan,2002,17117800.96
Jordan,2003,19163546.54
Jordan,2004,49500275.0
Jordan,2007,4367080.18
Jordan,2008,3585174.0
Jordan,2009,20356482.0
Jordan,2012,16659490.226666667
Jordan,2013,203351.0
Kenya,2000,501223996.0
Kenya,2001,292146640.2266667
Kenya,2002,11444386.0
Kenya,2003,27485162.0
Kenya,2004,204591962.89999998
Kenya,2005,576829515.24
Kenya,2006,438268699.0
Kenya,2007,2756191715.5066667
Kenya,2008,3752607497.863333
Kenya,2009,2102931537.6666663
Kenya,2010,541678730.6133333
Kenya,2011,1452781192.0
Kenya,2012,1302544773.7733333
Kenya,2013,299304105.6733333
Kenya,2014,25892104069.406666
Lebanon,2000,1392289.0
Lebanon,2003,41029616.72666667
Lebanon,2006,8061927.6466666665
Lebanon,2007,1197872.346666667
Lebanon,2009,663781.6533333333
Lebanon,2010,2197807.433333333
Lebanon,2011,5967151.593333333
Lebanon,2013,7362019.293333332
Lebanon,2014,12133867.273333332
Lesotho,2001,21126196.0
Lesotho,2002,199787.80666666667
Lesotho,2003,26160530.753333338
Lesotho,2005,27059615.12
Lesotho,2006,60615093.0
Lesotho,2007,27644126.78666667
Lesotho,2008,1378913.0
Lesotho,2009,5781483.893333333
Lesotho,2010,1297967.46
Lesotho,2011,22252547.073333334
Lesotho,2012,58346448.486666664
Lesotho,2013,9735429.106666666
Lesotho,2014,1346784.913333333
Liberia,2003,12690009.46
Liberia,2004,4533747.0
Liberia,2005,39352771.406666666
Liberia,2006,129187216.57333332
Liberia,2007,41094077.67333333
Liberia,2008,67967022.69333333
Liberia,2009,7826760.586666668
Liberia,2010,76767544.37333332
Liberia,2011,82204367.30333334
Liberia,2012,139096006.95333335
Liberia,2013,18124675.72
Liberia,2014,14236144.486666664
Libya,2011,3435716.0
Libya,2014,1955062.52
Madagascar,2001,68204717.0
Madagascar,2002,9040705.0
Madagascar,2004,3466986.9000000004
Madagascar,2005,27497781.0
Madagascar,2006,10218956.633333333
Madagascar,2007,158177.89333333337
Madagascar,2008,16194129.39333333
Madagascar,2009,5562352.766666667
Madagascar,2010,8420772.526666667
Madagascar,2011,15111425.326666664
Madagascar,2012,1620346.66
Madagascar,2013,7213530.366666666
Madagascar,2014,1620346.66
Malawi,2008,486089428.7733333
Malawi,2009,275574768.84000003
Malawi,2010,150923770.0
Malawi,2011,95386508.44666667
Malawi,2012,10425501.013333334
Malawi,2013,914965.0
Malawi,2014,2883105.453333333
Mali,2002,35643371.71333333
Mali,2006,2025597.7333333332
Mali,2007,96568531.0
Mali,2008,124677765.72666666
Mali,2009,43971417.96
Mali,2010,1142963389.1333332
Mali,2011,167016.0
Mali,2012,13124404.426666666
Mali,2013,363258063.32666665
Mali,2014,13233192.773333333
Mauritania,2005,267121297.0
Mauritania,2006,1363831.74
Mauritania,2007,99279445.0
Mauritania,2008,412373642.6666667
Mauritania,2009,9339166.206666667
Mauritania,2010,15470828.713333331
Mauritania,2011,200831270.84666663
Mauritania,2012,25847753.099999998
Mauritania,2013,272916310.3666667
Mauritania,2014,24961427.993333332
Mauritius,2000,39780352.0
Mauritius,2001,10986936.0
Mauritius,2002,32768218.0
Mauritius,2003,72175772.0
Mauritius,2004,10154825.0
Mauritius,2005,10966298.72
Mauritius,2006,419351647.0
Mauritius,2007,102689710.0
Mauritius,2008,205776.13333333333
Mauritius,2009,17765511560.679996
Mauritius,2010,9234580.673333332
Mauritius,2013,19125131.0
Morocco,2002,6814430.0
Morocco,2004,193031472.32666665
Morocco,2006,4600837.0
Morocco,2008,4339338.826666667
Morocco,2009,1852787.0
Morocco,2011,5780862420.52
Morocco,2012,12993810.446666667
Morocco,2013,308186094.0
Mozambique,2000,464096.0
Mozambique,2001,50357816.0
Mozambique,2002,18808420.293333333
Mozambique,2003,12095755.633333333
Mozambique,2004,80034040.0
Mozambique,2005,7856509.0
Mozambique,2006,140144461.40666667
Mozambique,2007,501297129.25333333
Mozambique,2009,285093998.34
Mozambique,2010,141830020.44
Mozambique,2011,1655213098.0
Mozambique,2012,836522787.92
Mozambique,2013,3387822208.0
Mozambique,2014,536725.2933333333
Namibia,2000,4012459.0
Namibia,2001,1488942.573333333
Namibia,2002,23586506.0
Namibia,2003,2785815055.86
Namibia,2004,32171188.70666667
Namibia,2005,127055505.68666667
Namibia,2006,52191894.31333333
Namibia,2007,32876575.346666664
Namibia,2008,12473906.326666668
Namibia,2009,26169633.95333333
Namibia,2010,4303814.24
Namibia,2011,83159636.0
Namibia,2012,1071811534.24
Namibia,2013,12767729.240000002
Namibia,2014,373374991.0
Niger,2001,62753579.31333333
Niger,2002,20402492.0
Niger,2003,225759.98666666663
Niger,2004,412848.34
Niger,2005,4783739.28
Niger,2006,75138646.17333333
Niger,2007,10342472.959999999
Niger,2008,1599885.22
Niger,2009,153458678.17999998
Niger,2010,26278120.73333333
Niger,2011,145430661.97333336
Niger,2012,46102654.800000004
Niger,2013,1119015363.0533333
Nigeria,2001,83855.65333333334
Nigeria,2002,737670068.9733334
Nigeria,2003,857465136.7133334
Nigeria,2004,219384656.60666665
Nigeria,2005,1370469740.0
Nigeria,2006,21175244746.0
Nigeria,2007,988752862.2666667
Nigeria,2008,9620226.84
Nigeria,2009,16963735.0
Nigeria,2011,11434504.893333333
Nigeria,2012,7027387642.486667
Nigeria,2013,23215830.673333332
Nigeria,2014,2361547.826666666
Palestine,2000,840906.0
Palestine,2001,2273491.0
Palestine,2008,1378913.0
Palestine,2009,15492777.666666666
Republic of Congo,2000,126273193.16666667
Republic of Congo,2001,170511792.0
Republic of Congo,2003,47734560.56
Republic of Congo,2004,1520866055.0
Republic of Congo,2005,32381743.413333334
Republic of Congo,2006,5491834895.793333
Republic of Congo,2007,796451135.6999999
Republic of Congo,2008,8824897.366666667
Republic of Congo,2009,68765242.16666667
Republic of Congo,2010,24229899.96333333
Republic of Congo,2011,94671993.48666668
Republic of Congo,2012,48561149.39333333
Republic of Congo,2013,378991256.76
Republic of Congo,2014,815000.0
Rwanda,2000,39082321.02666667
Rwanda,2001,37225961.0
Rwanda,2003,9434520.186666667
Rwanda,2005,3456634.993333333
Rwanda,2006,1119961234.5533335
Rwanda,2007,283015545.68
Rwanda,2008,1639326740.8933332
Rwanda,2009,56064938.593333334
Rwanda,2010,1294081.0
Rwanda,2011,37683847.513333336
Rwanda,2012,2103593.9999999995
Rwanda,2013,37434144.99333333
Rwanda,2014,29796949.033333335
Senegal,2005,1375630170.0
Senegal,2006,54334966.91333333
Senegal,2007,352283605.4266667
Senegal,2009,48569117.74
Senegal,2010,2950994.393333333
Senegal,2011,143297502.82666668
Senegal,2012,53176232.0
Senegal,2013,22022987.159999996
Senegal,2014,30000.0
Seychelles,2005,98206.0
Seychelles,2006,66396.39333333333
Seychelles,2007,31734972.68
Seychelles,2008,24211678.720000006
Seychelles,2009,13000314.413333336
Seychelles,2010,11483911.873333333
Seychelles,2011,38737509.906666666
Seychelles,2012,40896293.29333334
Seychelles,2013,1387934.9733333334
Seychelles,2014,9310563.353333334
Sierra Leone,2000,580120.0
Sierra Leone,2001,1301166.2533333334
Sierra Leone,2002,70935239.86666667
Sierra Leone,2003,5477285.046666667
Sierra Leone,2004,42540144.1
Sierra Leone,2005,5990335.486666666
Sierra Leone,2006,138231299.08666673
Sierra Leone,2007,102664686.98
Sierra Leone,2008,33588789.74666667
Sierra Leone,2009,65024036.68666667
Sierra Leone,2010,47145827.82666667
Sierra Leone,2011,779302231.2333335
Sierra Leone,2012,38309655.43333333
Sierra Leone,2013,40991693.79999999
Sierra Leone,2014,95906295.90666668
Somalia,2004,568330.0
Somalia,2005,5893364.0
Somalia,2007,1028600.0
Somalia,2009,877205.0
Somalia,2011,17759797.0
Somalia,2014,267345.1666666666
South Africa,2000,60521259.0
South Africa,2006,112143577.4
South Africa,2007,187505062.77333334
South Africa,2008,23067885.04
South Africa,2009,46245120.400000006
South Africa,2011,721491762.0
South Africa,2013,2290548458.373333
South Sudan,2008,3998848.0
South Sudan,2009,1292876.16
South Sudan,2011,107372768.84
South Sudan,2012,2565641.086666667
South Sudan,2013,81174346.39333333
South Sudan,2014,11889205.753333332
Sudan,2000,7077165.0
Sudan,2001,100418162.28333333
Sudan,2002,8192054.0
Sudan,2003,16420553258.026667
Sudan,2004,204842935.0
Sudan,2005,869153680.6666666
Sudan,2006,392044626.06
Sudan,2007,6878395863.826669
Sudan,2008,1214432741.2133334
Sudan,2009,3342868202.013333
Sudan,2010,307905080.0
Sudan,2011,25692409.573333334
Sudan,2013,43275276.24333334
Sudan,2014,766222982.0933332
Syria,2004,1815121.9733333332
Syria,2006,1193795.346666667
Syria,2009,1280586.5
Syria,2011,164904658.77333334
Syria,2012,2118071.0
Syria,2014,3255508.0
Tanzania,2000,489839503.49333334
Tanzania,2001,315384310.28000003
Tanzania,2002,61957570.0
Tanzania,2003,73635606.3
Tanzania,2004,50964718.00666667
Tanzania,2005,16504716.346666668
Tanzania,2006,64645643.42666666
Tanzania,2007,159756966.9766667
Tanzania,2008,8668153809.193333
Tanzania,2009,77454652.66
Tanzania,2010,6139348768.579997
Tanzania,2011,160748817.7
Tanzania,2012,7086474510.203334
Tanzania,2013,754209974.7166662
Tanzania,2014,28266708.38666667
Togo,2001,6094744.306666667
Togo,2003,11062793.586666666
Togo,2004,249795092.0
Togo,2005,9719576.106666667
Togo,2006,36111053.44
Togo,2007,13816419.193333331
Togo,2008,40797383.82
Togo,2009,3942949885.273333
Togo,2010,6494248.866666666
Togo,2011,3620711.6866666665
Togo,2012,17010047.0
Togo,2013,10990789.966666667
Togo,2014,820000.0
Tunisia,2000,1359074.153333333
Tunisia,2004,13987546.693333331
Tunisia,2006,26581643.759999994
Tunisia,2007,10829068.2
Tunisia,2008,1843847.4733333332
Tunisia,2009,24001008.086666666
Tunisia,2010,1843847.4733333332
Tunisia,2011,2219975.0
Tunisia,2012,39344688.47333333
Tunisia,2014,20831591.666666668
Turkey,2002,11301.0
Turkey,2003,66099.0
Turkey,2007,8202760734.0
Turkey,2008,219604512.7133333
Turkey,2010,11940792.553333333
Turkey,2011,4933567.279999999
Turkey,2012,211807087.0
Turkey,2013,4290973.226666667
Uganda,2000,36716927.12
Uganda,2001,193045106.0
Uganda,2002,23192808.213333335
Uganda,2003,43389029.43666667
Uganda,2004,28659610.21333333
Uganda,2005,12365465.066666665
Uganda,2006,57804307.79
Uganda,2007,82494434.82666667
Uganda,2008,17251910.0
Uganda,2009,171786520.43666667
Uganda,2010,20101129.093333334
Uganda,2011,2469653113.7066665
Uganda,2012,21803268.69333333
Uganda,2013,32017224.45
Uganda,2014,517901296.64000005
United Arab Emirates,2012,31771063.0
Yemen,2007,1145266.0
Yemen,2008,224856291.0533333
Yemen,2009,55277230.0
Yemen,2010,10061585.0
Yemen,2011,3425947.9266666668
Yemen,2013,45345095.95333333
Yemen,2014,61330999.69333334
Zambia,2000,5849458.0
Zambia,2001,148762917.33333334
Zambia,2002,25015525.773333333
Zambia,2003,53766334.67999999
Zambia,2004,41215882.0
Zambia,2005,244432813.5066666
Zambia,2006,479586301.47999996
Zambia,2007,1132332921.96
Zambia,2009,169902938.2066667
Zambia,2010,2172461098.68
Zambia,2011,239151818.44666666
Zambia,2012,1017367676.3133334
Zambia,2013,14713523.753333336
Zambia,2014,3602802205.25
Zimbabwe,2000,1401571.0
Zimbabwe,2001,1392393.0
Zimbabwe,2002,32409479.413333334
Zimbabwe,2003,137529597.0
Zimbabwe,2004,227228250.0
Zimbabwe,2005,174037581.63333333
Zimbabwe,2006,1359627520.8533335
Zimbabwe,2007,146403394.01333332
Zimbabwe,2008,33163955.813333333
Zimbabwe,2009,28557742.366666667
Zimbabwe,2010,305897421.32
Zimbabwe,2011,302491380.4933334
Zimbabwe,2012,19544559558.079994
Zimbabwe,2013,29155779.213333335
Zimbabwe,2014,1092676359.8933334
